Amorphus	Unclassified_Rhizobiales
Amphibacillus	Bacillaceae
Amphiplicatus	Parvularculaceae
Amphritea	Oceanospirillaceae
Amycolatopsis	Pseudonocardiaceae
Amycolicicoccus	Mycobacteriaceae
Amylibacter	Rhodobacteraceae
Anaeroarcus	Veillonellaceae
Anaerobacillus	Bacillaceae
Anaerobacter	Clostridiaceae
Anaerobacterium	Ruminococcaceae
Anaerobaculum	Synergistaceae
Anaerobiospirillum	Succinivibrionaceae
Anaerobranca	Unclassified_Clostridiales
Anaerocella	Rikenellaceae
Anaerococcus	Unclassified_Clostridiales
Anaerofilum	Ruminococcaceae
Anaerofustis	Eubacteriaceae
Anaeroglobus	Veillonellaceae
Anaerolinea	Anaerolineaceae
Anaeromusa	Veillonellaceae
Anaeromyxobacter	Anaeromyxobacteraceae
Anaerophaga	Marinilabiliaceae
Anaeroplasma	Anaeroplasmataceae
Anaerorhabdus	Bacteroidaceae
Anaerosalibacter	Clostridiaceae
Anaerosinus	Veillonellaceae
Anaerosolibacter	Clostridiaceae
Anaerosphaera	Peptostreptococcaceae
Anaerosporobacter	Clostridiaceae
Anaerostipes	Lachnospiraceae
Anaerotruncus	Ruminococcaceae
Anaerovibrio	Veillonellaceae
Anaerovirgula	Unclassified_Clostridiales
Anaerovorax	Unclassified_Clostridiales
Anaplasma	Anaplasmataceae
Ancylobacter	Xanthobacteraceae
Anderseniella	Rhodobiaceae
Andreprevotia	Neisseriaceae
Aneurinibacillus	Paenibacillaceae
Angulomicrobium	Hyphomicrobiaceae
Angustibacter	Kineosporiaceae
Anoxybacillus	Bacillaceae
Anoxybacter	Unclassified_Halanaerobiales
Anoxynatronum	Clostridiaceae
Antarcticimonas	Flavobacteriaceae
Antarctobacter	Rhodobacteraceae
Aquabacter	Hyphomicrobiaceae
Aquabacterium	Unclassified_Burkholderiales
Aquamicrobium	Phyllobacteriaceae
Aquaspirillum	Neisseriaceae
Aquibacillus	Bacillaceae
Aquibacter	Flavobacteriaceae
Aquicella	Coxiellaceae
Aquifex	Aquificaceae
Aquiflexum	Cyclobacteriaceae
Aquihabitans	Iamiaceae
Aquimarina	Flavobacteriaceae
Aquimonas	Rhodanobacteraceae
Aquincola	Unclassified_Burkholderiales
Aquipuribacter	Intrasporangiaceae
Aquisalibacillus	Bacillaceae
Aquisalimonas	Ectothiorhodospiraceae
Aquisphaera	Planctomycetaceae
Aquitalea	Neisseriaceae
Arachidicoccus	Chitinophagaceae
Arcanobacterium	Actinomycetaceae
Archaeoglobus	Archaeoglobaceae
Archangium	Cystobacteraceae
Arcicella	Cytophagaceae
Arcobacter	Campylobacteraceae
Arcticibacter	Sphingobacteriaceae
Ardenticatena	Ardenticatenia
Arenibacter	Flavobacteriaceae
Arenicella	Arenicellaceae
Arenimonas	Lysobacteraceae
Arenitalea	Flavobacteriaceae
Arhodomonas	Ectothiorhodospiraceae
Aridibacter	Unclassified_Elusimicrobia
Armatimonas	Armatimonadaceae
Arsenicicoccus	Intrasporangiaceae
Arsenophonus	Enterobacteriaceae
Arthrobacter	Micrococcaceae
Asaccharobacter	Eggerthellaceae
Asaccharospora	Clostridiaceae
Asaia	Acetobacteraceae
Asanoa	Micromonosporaceae
Ascidiaceihabitans	Rhodobacteraceae
Asinibacterium	Chitinophagaceae
Asteroleplasma	Anaeroplasmataceae
Asticcacaulis	Caulobacteraceae
Atopobacter	Carnobacteriaceae
Atopobium	Atopobacteriaceae
Atopococcus	Carnobacteriaceae
Atopostipes	Carnobacteriaceae
Aurantimonas	Aurantimonadaceae
Auraticoccus	Propionibacteriaceae
Aureibacter	Flammeovirgaceae
Aureicoccus	Flavobacteriaceae
Aureimonas	Aurantimonadaceae
Aureispira	Saprospiraceae
Aureitalea	Flavobacteriaceae
Aureivirga	Flavobacteriaceae
Auritidibacter	Micrococcaceae
Austwickia	Dermatophilaceae
